"GEO_ID","NAME","B27001A_001E","B27001A_001M","B27001A_001MA","B27001A_001EA","B27001A_002E","B27001A_002M","B27001A_002MA","B27001A_002EA","B27001A_003E","B27001A_003M","B27001A_003MA","B27001A_003EA","B27001A_004E","B27001A_004M","B27001A_004MA","B27001A_004EA","B27001A_005E","B27001A_005M","B27001A_005MA","B27001A_005EA","B27001A_006E","B27001A_006EA","B27001A_006M","B27001A_006MA","B27001A_007E","B27001A_007M","B27001A_007MA","B27001A_007EA","B27001A_008E","B27001A_008M","B27001A_008MA","B27001A_008EA","B27001A_009E","B27001A_009M","B27001A_009MA","B27001A_009EA","B27001A_010E","B27001A_010M","B27001A_010MA","B27001A_010EA","B27001A_011E","B27001A_011M","B27001A_011MA","B27001A_011EA","B27001A_012E","B27001A_012M","B27001A_012MA","B27001A_012EA","B27001A_013E","B27001A_013M","B27001A_013MA","B27001A_013EA","B27001A_014E","B27001A_014M","B27001A_014MA","B27001A_014EA","B27001A_015E","B27001A_015M","B27001A_015MA","B27001A_015EA","B27001A_016E","B27001A_016M","B27001A_016MA","B27001A_016EA","B27001A_017E","B27001A_017EA","B27001A_017M","B27001A_017MA","B27001A_018E","B27001A_018M","B27001A_018MA","B27001A_018EA","B27001A_019E","B27001A_019M","B27001A_019MA","B27001A_019EA","B27001A_020E","B27001A_020M","B27001A_020MA","B27001A_020EA","B27001A_021E","B27001A_021M","B27001A_021MA","B27001A_021EA","B27001A_022E","B27001A_022M","B27001A_022MA","B27001A_022EA","B27001A_023E","B27001A_023M","B27001A_023MA","B27001A_023EA","B27001A_024E","B27001A_024M","B27001A_024MA","B27001A_024EA","B27001A_025E","B27001A_025M","B27001A_025MA","B27001A_025EA","B27001A_026E","B27001A_026M","B27001A_026MA","B27001A_026EA","B27001A_027E","B27001A_027M","B27001A_027MA","B27001A_027EA","B27001A_028E","B27001A_028EA","B27001A_028M","B27001A_028MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Under 6 years:","Margin of Error!!Total:!!Under 6 years:","Annotation of Margin of Error!!Total:!!Under 6 years:","Annotation of Estimate!!Total:!!Under 6 years:","Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!6 to 18 years:","Margin of Error!!Total:!!6 to 18 years:","Annotation of Margin of Error!!Total:!!6 to 18 years:","Annotation of Estimate!!Total:!!6 to 18 years:","Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!19 to 25 years:","Margin of Error!!Total:!!19 to 25 years:","Annotation of Margin of Error!!Total:!!19 to 25 years:","Annotation of Estimate!!Total:!!19 to 25 years:","Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!26 to 34 years:","Margin of Error!!Total:!!26 to 34 years:","Annotation of Margin of Error!!Total:!!26 to 34 years:","Annotation of Estimate!!Total:!!26 to 34 years:","Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!35 to 44 years:","Margin of Error!!Total:!!35 to 44 years:","Annotation of Margin of Error!!Total:!!35 to 44 years:","Annotation of Estimate!!Total:!!35 to 44 years:","Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!45 to 54 years:","Annotation of Estimate!!Total:!!45 to 54 years:","Margin of Error!!Total:!!45 to 54 years:","Annotation of Margin of Error!!Total:!!45 to 54 years:","Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!55 to 64 years:","Margin of Error!!Total:!!55 to 64 years:","Annotation of Margin of Error!!Total:!!55 to 64 years:","Annotation of Estimate!!Total:!!55 to 64 years:","Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!65 to 74 years:","Margin of Error!!Total:!!65 to 74 years:","Annotation of Margin of Error!!Total:!!65 to 74 years:","Annotation of Estimate!!Total:!!65 to 74 years:","Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!75 years and over:","Margin of Error!!Total:!!75 years and over:","Annotation of Margin of Error!!Total:!!75 years and over:","Annotation of Estimate!!Total:!!75 years and over:","Estimate!!Total:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!No health insurance coverage",
"0500000US01003","Baldwin County, Alabama","189325","2177","null","null","11815","1188","null","null","11595","1184","null","null","220","247","null","null","28867","1553","null","null","28076","null","1584","null","791","607","null","null","13424","1282","null","null","11089","1617","null","null","2335","1063","null","null","17945","1078","null","null","15226","1405","null","null","2719","1199","null","null","22002","663","null","null","18776","1368","null","null","3226","1239","null","null","24243","null","836","null","21583","1244","null","null","2660","1150","null","null","28471","356","null","null","26544","1044","null","null","1927","947","null","null","25581","481","null","null","25513","496","null","null","68","97","null","null","16977","319","null","null","16977","319","null","null","0","null","206","null",
"0500000US01015","Calhoun County, Alabama","80403","1745","null","null","5115","646","null","null","4774","743","null","null","341","341","null","null","11284","712","null","null","10718","null","864","null","566","544","null","null","7205","1054","null","null","6668","1053","null","null","537","397","null","null","8649","1076","null","null","7761","958","null","null","888","480","null","null","9433","630","null","null","7435","1053","null","null","1998","917","null","null","9992","null","428","null","8617","843","null","null","1375","744","null","null","12062","105","null","null","10438","656","null","null","1624","646","null","null","9920","200","null","null","9829","125","null","null","91","158","null","null","6743","218","null","null","6743","218","null","null","0","null","206","null",
"0500000US01043","Cullman County, Alabama","78892","1087","null","null","5804","621","null","null","5804","621","null","null","0","206","null","null","12317","627","null","null","11975","null","640","null","342","396","null","null","6145","686","null","null","5486","751","null","null","659","376","null","null","9146","556","null","null","6548","867","null","null","2598","789","null","null","9367","574","null","null","7591","607","null","null","1776","797","null","null","10492","null","579","null","8859","561","null","null","1633","793","null","null","10827","223","null","null","9519","708","null","null","1308","678","null","null","8743","254","null","null","8590","340","null","null","153","239","null","null","6051","172","null","null","6051","172","null","null","0","null","206","null",
"0500000US01049","DeKalb County, Alabama","58715","1487","null","null","3411","464","null","null","3117","608","null","null","294","403","null","null","9613","696","null","null","9504","null","712","null","109","119","null","null","4130","511","null","null","3390","685","null","null","740","521","null","null","6462","573","null","null","4596","977","null","null","1866","1009","null","null","7261","487","null","null","6019","806","null","null","1242","611","null","null","7827","null","80","null","6530","743","null","null","1297","742","null","null","8513","322","null","null","7318","838","null","null","1195","746","null","null","6957","175","null","null","6626","564","null","null","331","552","null","null","4541","293","null","null","4541","293","null","null","0","null","206","null",
"0500000US01051","Elmore County, Alabama","58869","869","null","null","5162","762","null","null","4869","805","null","null","293","324","null","null","8940","642","null","null","8493","null","653","null","447","341","null","null","3443","320","null","null","2965","508","null","null","478","418","null","null","7837","830","null","null","7071","664","null","null","766","494","null","null","6793","357","null","null","5980","682","null","null","813","609","null","null","7515","null","295","null","7211","385","null","null","304","281","null","null","8739","402","null","null","8376","506","null","null","363","309","null","null","6392","117","null","null","6392","117","null","null","0","206","null","null","4048","197","null","null","4048","197","null","null","0","null","206","null",
"0500000US01055","Etowah County, Alabama","79432","748","null","null","4707","435","null","null","4425","480","null","null","282","293","null","null","11379","481","null","null","10611","null","772","null","768","590","null","null","6087","436","null","null","5407","496","null","null","680","363","null","null","8610","401","null","null","6843","744","null","null","1767","719","null","null","9420","513","null","null","8515","754","null","null","905","533","null","null","10994","null","206","null","9545","610","null","null","1449","610","null","null","11257","220","null","null","9012","853","null","null","2245","809","null","null","10043","88","null","null","9759","361","null","null","284","345","null","null","6935","240","null","null","6935","240","null","null","0","null","206","null",
"0500000US01069","Houston County, Alabama","70844","1550","null","null","4442","243","null","null","4352","223","null","null","90","119","null","null","11260","315","null","null","10992","null","365","null","268","133","null","null","4875","743","null","null","3376","595","null","null","1499","552","null","null","7320","496","null","null","5282","651","null","null","2038","604","null","null","8766","212","null","null","6956","612","null","null","1810","601","null","null","9309","null","218","null","7801","525","null","null","1508","571","null","null","10222","386","null","null","9141","510","null","null","1081","423","null","null","8338","376","null","null","8313","376","null","null","25","32","null","null","6312","289","null","null","6247","306","null","null","65","null","111","null",
"0500000US01073","Jefferson County, Alabama","338890","3004","null","null","23041","1294","null","null","22873","1328","null","null","168","222","null","null","49727","1568","null","null","48921","null","1685","null","806","548","null","null","27201","1397","null","null","24351","1623","null","null","2850","1100","null","null","43975","1251","null","null","39276","1906","null","null","4699","1344","null","null","43185","1241","null","null","37292","1605","null","null","5893","1484","null","null","41160","null","954","null","35418","1929","null","null","5742","1789","null","null","44985","491","null","null","39829","1543","null","null","5156","1417","null","null","37553","506","null","null","37446","500","null","null","107","127","null","null","28063","532","null","null","28039","533","null","null","24","null","39","null",
"0500000US01077","Lauderdale County, Alabama","78351","1448","null","null","3999","239","null","null","3632","520","null","null","367","566","null","null","11779","994","null","null","10664","null","1058","null","1115","733","null","null","7711","1164","null","null","7110","1170","null","null","601","326","null","null","7998","691","null","null","6559","916","null","null","1439","872","null","null","8531","468","null","null","6415","989","null","null","2116","962","null","null","9828","null","56","null","8296","824","null","null","1532","846","null","null","11007","223","null","null","10149","617","null","null","858","583","null","null","10167","581","null","null","10167","581","null","null","0","206","null","null","7331","174","null","null","7331","174","null","null","0","null","206","null",
