"GEO_ID","NAME","B27001B_001E","B27001B_001M","B27001B_001MA","B27001B_001EA","B27001B_002E","B27001B_002M","B27001B_002MA","B27001B_002EA","B27001B_003E","B27001B_003M","B27001B_003MA","B27001B_003EA","B27001B_004E","B27001B_004EA","B27001B_004M","B27001B_004MA","B27001B_005E","B27001B_005EA","B27001B_005M","B27001B_005MA","B27001B_006E","B27001B_006EA","B27001B_006M","B27001B_006MA","B27001B_007E","B27001B_007EA","B27001B_007M","B27001B_007MA","B27001B_008E","B27001B_008EA","B27001B_008M","B27001B_008MA","B27001B_009E","B27001B_009EA","B27001B_009M","B27001B_009MA","B27001B_010E","B27001B_010EA","B27001B_010M","B27001B_010MA","B27001B_011E","B27001B_011M","B27001B_011MA","B27001B_011EA","B27001B_012E","B27001B_012EA","B27001B_012M","B27001B_012MA","B27001B_013E","B27001B_013EA","B27001B_013M","B27001B_013MA","B27001B_014E","B27001B_014EA","B27001B_014M","B27001B_014MA","B27001B_015E","B27001B_015EA","B27001B_015M","B27001B_015MA","B27001B_016E","B27001B_016EA","B27001B_016M","B27001B_016MA","B27001B_017E","B27001B_017EA","B27001B_017M","B27001B_017MA","B27001B_018E","B27001B_018EA","B27001B_018M","B27001B_018MA","B27001B_019E","B27001B_019EA","B27001B_019M","B27001B_019MA","B27001B_020E","B27001B_020EA","B27001B_020M","B27001B_020MA","B27001B_021E","B27001B_021EA","B27001B_021M","B27001B_021MA","B27001B_022E","B27001B_022EA","B27001B_022M","B27001B_022MA","B27001B_023E","B27001B_023EA","B27001B_023M","B27001B_023MA","B27001B_024E","B27001B_024EA","B27001B_024M","B27001B_024MA","B27001B_025E","B27001B_025EA","B27001B_025M","B27001B_025MA","B27001B_026E","B27001B_026EA","B27001B_026M","B27001B_026MA","B27001B_027E","B27001B_027EA","B27001B_027M","B27001B_027MA","B27001B_028E","B27001B_028EA","B27001B_028M","B27001B_028MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Under 6 years:","Margin of Error!!Total:!!Under 6 years:","Annotation of Margin of Error!!Total:!!Under 6 years:","Annotation of Estimate!!Total:!!Under 6 years:","Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!6 to 18 years:","Annotation of Estimate!!Total:!!6 to 18 years:","Margin of Error!!Total:!!6 to 18 years:","Annotation of Margin of Error!!Total:!!6 to 18 years:","Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!19 to 25 years:","Annotation of Estimate!!Total:!!19 to 25 years:","Margin of Error!!Total:!!19 to 25 years:","Annotation of Margin of Error!!Total:!!19 to 25 years:","Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!26 to 34 years:","Margin of Error!!Total:!!26 to 34 years:","Annotation of Margin of Error!!Total:!!26 to 34 years:","Annotation of Estimate!!Total:!!26 to 34 years:","Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!35 to 44 years:","Annotation of Estimate!!Total:!!35 to 44 years:","Margin of Error!!Total:!!35 to 44 years:","Annotation of Margin of Error!!Total:!!35 to 44 years:","Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!45 to 54 years:","Annotation of Estimate!!Total:!!45 to 54 years:","Margin of Error!!Total:!!45 to 54 years:","Annotation of Margin of Error!!Total:!!45 to 54 years:","Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!55 to 64 years:","Annotation of Estimate!!Total:!!55 to 64 years:","Margin of Error!!Total:!!55 to 64 years:","Annotation of Margin of Error!!Total:!!55 to 64 years:","Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!65 to 74 years:","Annotation of Estimate!!Total:!!65 to 74 years:","Margin of Error!!Total:!!65 to 74 years:","Annotation of Margin of Error!!Total:!!65 to 74 years:","Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!75 years and over:","Annotation of Estimate!!Total:!!75 years and over:","Margin of Error!!Total:!!75 years and over:","Annotation of Margin of Error!!Total:!!75 years and over:","Estimate!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!No health insurance coverage",
"0500000US01003","Baldwin County, Alabama","17668","1915","null","null","507","529","null","null","507","529","null","null","0","null","206","null","3502","null","1358","null","3502","null","1358","null","0","null","206","null","1862","null","1119","null","1618","null","996","null","244","null","382","null","2024","1058","null","null","1125","null","860","null","899","null","701","null","3516","null","1584","null","3516","null","1584","null","0","null","206","null","1657","null","1167","null","1657","null","1167","null","0","null","206","null","1551","null","824","null","1283","null","815","null","268","null","233","null","2296","null","921","null","2059","null","914","null","237","null","288","null","753","null","467","null","753","null","467","null","0","null","206","null",
"0500000US01015","Calhoun County, Alabama","24662","1386","null","null","2404","696","null","null","2404","696","null","null","0","null","206","null","4318","null","903","null","4318","null","903","null","0","null","206","null","2798","null","352","null","2787","null","350","null","11","null","24","null","3288","766","null","null","1739","null","708","null","1549","null","870","null","3085","null","526","null","2163","null","720","null","922","null","542","null","2497","null","315","null","2315","null","335","null","182","null","218","null","3205","null","234","null","2948","null","359","null","257","null","286","null","1798","null","417","null","1798","null","417","null","0","null","206","null","1269","null","379","null","1269","null","379","null","0","null","206","null",
"0500000US01043","Cullman County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01049","DeKalb County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01051","Elmore County, Alabama","15049","869","null","null","903","456","null","null","903","456","null","null","0","null","206","null","3670","null","523","null","3472","null","530","null","198","null","320","null","1396","null","629","null","1396","null","629","null","0","null","206","null","2580","866","null","null","2580","null","866","null","0","null","206","null","1541","null","506","null","1517","null","508","null","24","null","50","null","1903","null","455","null","1398","null","579","null","505","null","463","null","1468","null","285","null","1251","null","296","null","217","null","237","null","972","null","351","null","972","null","351","null","0","null","206","null","616","null","268","null","616","null","268","null","0","null","206","null",
"0500000US01055","Etowah County, Alabama","15798","696","null","null","942","464","null","null","827","450","null","null","115","null","187","null","2842","null","755","null","2497","null","791","null","345","null","477","null","2446","null","586","null","1470","null","952","null","976","null","707","null","1729","925","null","null","1003","null","627","null","726","null","567","null","1566","null","703","null","957","null","501","null","609","null","427","null","2267","null","440","null","2220","null","447","null","47","null","61","null","1976","null","78","null","1833","null","192","null","143","null","175","null","926","null","348","null","926","null","348","null","0","null","206","null","1104","null","354","null","1104","null","354","null","0","null","206","null",
"0500000US01069","Houston County, Alabama","29225","637","null","null","2939","319","null","null","2939","319","null","null","0","null","206","null","5636","null","411","null","5382","null","397","null","254","null","161","null","3011","null","470","null","1972","null","428","null","1039","null","368","null","3507","420","null","null","2419","null","566","null","1088","null","401","null","3849","null","137","null","2633","null","316","null","1216","null","284","null","3322","null","128","null","2644","null","209","null","678","null","182","null","3483","null","109","null","3287","null","128","null","196","null","117","null","2248","null","44","null","2248","null","44","null","0","null","206","null","1230","null","106","null","1230","null","106","null","0","null","206","null",
"0500000US01073","Jefferson County, Alabama","282433","1861","null","null","23227","1491","null","null","21747","1678","null","null","1480","null","877","null","51296","null","1962","null","48877","null","2073","null","2419","null","1118","null","27384","null","1972","null","21851","null","2463","null","5533","null","2018","null","37417","1546","null","null","29287","null","1972","null","8130","null","1874","null","36405","null","256","null","31143","null","1380","null","5262","null","1410","null","33008","null","521","null","29125","null","1145","null","3883","null","1009","null","36283","null","515","null","32176","null","1339","null","4107","null","1234","null","24712","null","464","null","24694","null","470","null","18","null","27","null","12701","null","492","null","12660","null","471","null","41","null","67","null",
"0500000US01077","Lauderdale County, Alabama","10476","762","null","null","208","329","null","null","0","206","null","null","208","null","329","null","2622","null","481","null","2622","null","481","null","0","null","206","null","1233","null","479","null","687","null","400","null","546","null","457","null","1602","855","null","null","633","null","562","null","969","null","788","null","1438","null","652","null","1436","null","653","null","2","null","4","null","870","null","508","null","737","null","468","null","133","null","164","null","996","null","261","null","946","null","242","null","50","null","72","null","1058","null","501","null","1058","null","501","null","0","null","206","null","449","null","325","null","449","null","325","null","0","null","206","null",
