"GEO_ID","NAME","B27001H_001E","B27001H_001EA","B27001H_001M","B27001H_001MA","B27001H_002E","B27001H_002EA","B27001H_002M","B27001H_002MA","B27001H_003E","B27001H_003EA","B27001H_003M","B27001H_003MA","B27001H_004E","B27001H_004EA","B27001H_004M","B27001H_004MA","B27001H_005E","B27001H_005EA","B27001H_005M","B27001H_005MA","B27001H_006E","B27001H_006EA","B27001H_006M","B27001H_006MA","B27001H_007E","B27001H_007EA","B27001H_007M","B27001H_007MA","B27001H_008E","B27001H_008M","B27001H_008MA","B27001H_008EA","B27001H_009E","B27001H_009EA","B27001H_009M","B27001H_009MA","B27001H_010E","B27001H_010EA","B27001H_010M","B27001H_010MA","B27001H_011E","B27001H_011EA","B27001H_011M","B27001H_011MA","B27001H_012E","B27001H_012EA","B27001H_012M","B27001H_012MA","B27001H_013E","B27001H_013EA","B27001H_013M","B27001H_013MA","B27001H_014E","B27001H_014EA","B27001H_014M","B27001H_014MA","B27001H_015E","B27001H_015EA","B27001H_015M","B27001H_015MA","B27001H_016E","B27001H_016EA","B27001H_016M","B27001H_016MA","B27001H_017E","B27001H_017EA","B27001H_017M","B27001H_017MA","B27001H_018E","B27001H_018EA","B27001H_018M","B27001H_018MA","B27001H_019E","B27001H_019M","B27001H_019MA","B27001H_019EA","B27001H_020E","B27001H_020EA","B27001H_020M","B27001H_020MA","B27001H_021E","B27001H_021EA","B27001H_021M","B27001H_021MA","B27001H_022E","B27001H_022EA","B27001H_022M","B27001H_022MA","B27001H_023E","B27001H_023EA","B27001H_023M","B27001H_023MA","B27001H_024E","B27001H_024EA","B27001H_024M","B27001H_024MA","B27001H_025E","B27001H_025EA","B27001H_025M","B27001H_025MA","B27001H_026E","B27001H_026EA","B27001H_026M","B27001H_026MA","B27001H_027E","B27001H_027EA","B27001H_027M","B27001H_027MA","B27001H_028E","B27001H_028EA","B27001H_028M","B27001H_028MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Under 6 years:","Annotation of Estimate!!Total:!!Under 6 years:","Margin of Error!!Total:!!Under 6 years:","Annotation of Margin of Error!!Total:!!Under 6 years:","Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!6 to 18 years:","Annotation of Estimate!!Total:!!6 to 18 years:","Margin of Error!!Total:!!6 to 18 years:","Annotation of Margin of Error!!Total:!!6 to 18 years:","Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!19 to 25 years:","Margin of Error!!Total:!!19 to 25 years:","Annotation of Margin of Error!!Total:!!19 to 25 years:","Annotation of Estimate!!Total:!!19 to 25 years:","Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!26 to 34 years:","Annotation of Estimate!!Total:!!26 to 34 years:","Margin of Error!!Total:!!26 to 34 years:","Annotation of Margin of Error!!Total:!!26 to 34 years:","Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!35 to 44 years:","Annotation of Estimate!!Total:!!35 to 44 years:","Margin of Error!!Total:!!35 to 44 years:","Annotation of Margin of Error!!Total:!!35 to 44 years:","Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!45 to 54 years:","Annotation of Estimate!!Total:!!45 to 54 years:","Margin of Error!!Total:!!45 to 54 years:","Annotation of Margin of Error!!Total:!!45 to 54 years:","Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!55 to 64 years:","Annotation of Estimate!!Total:!!55 to 64 years:","Margin of Error!!Total:!!55 to 64 years:","Annotation of Margin of Error!!Total:!!55 to 64 years:","Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!65 to 74 years:","Annotation of Estimate!!Total:!!65 to 74 years:","Margin of Error!!Total:!!65 to 74 years:","Annotation of Margin of Error!!Total:!!65 to 74 years:","Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!75 years and over:","Annotation of Estimate!!Total:!!75 years and over:","Margin of Error!!Total:!!75 years and over:","Annotation of Margin of Error!!Total:!!75 years and over:","Estimate!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!No health insurance coverage",
"0500000US01003","Baldwin County, Alabama","183610","null","949","null","11504","null","1012","null","11284","null","999","null","220","null","247","null","26491","null","1198","null","25930","null","1244","null","561","null","479","null","12293","1209","null","null","10239","null","1598","null","2054","null","921","null","17744","null","1047","null","15226","null","1405","null","2518","null","1140","null","21334","null","504","null","18202","null","1266","null","3132","null","1229","null","23887","null","819","null","21249","null","1209","null","2638","1140","null","null","28196","null","126","null","26269","null","962","null","1927","null","947","null","25322","null","218","null","25254","null","240","null","68","null","97","null","16839","null","193","null","16839","null","193","null","0","null","206","null",
"0500000US01015","Calhoun County, Alabama","79067","null","1269","null","4994","null","549","null","4653","null","650","null","341","null","341","null","11209","null","690","null","10643","null","852","null","566","null","544","null","6909","924","null","null","6372","null","938","null","537","null","397","null","8214","null","884","null","7326","null","788","null","888","null","480","null","9229","null","575","null","7231","null","1002","null","1998","null","917","null","9992","null","428","null","8617","null","843","null","1375","744","null","null","11997","null","206","null","10373","null","646","null","1624","null","646","null","9829","null","125","null","9829","null","125","null","0","null","206","null","6694","null","211","null","6694","null","211","null","0","null","206","null",
"0500000US01043","Cullman County, Alabama","75880","null","640","null","5270","null","503","null","5270","null","503","null","0","null","206","null","11754","null","757","null","11412","null","772","null","342","null","396","null","5706","536","null","null","5047","null","606","null","659","null","376","null","8794","null","426","null","6357","null","805","null","2437","null","806","null","9022","null","174","null","7591","null","607","null","1431","null","587","null","9941","null","87","null","8692","null","500","null","1249","496","null","null","10698","null","126","null","9390","null","683","null","1308","null","678","null","8674","null","215","null","8521","null","313","null","153","null","239","null","6021","null","161","null","6021","null","161","null","0","null","206","null",
"0500000US01049","DeKalb County, Alabama","56513","null","348","null","3107","null","252","null","2813","null","488","null","294","null","403","null","9111","null","336","null","9002","null","370","null","109","null","119","null","3947","485","null","null","3247","null","654","null","700","null","535","null","6088","null","430","null","4499","null","974","null","1589","null","906","null","6674","null","87","null","5454","null","619","null","1220","null","608","null","7794","null","61","null","6497","null","742","null","1297","742","null","null","8311","null","33","null","7116","null","747","null","1195","null","746","null","6957","null","175","null","6626","null","564","null","331","null","552","null","4524","null","289","null","4524","null","289","null","0","null","206","null",
"0500000US01051","Elmore County, Alabama","56699","null","761","null","4089","null","590","null","3796","null","613","null","293","null","324","null","8882","null","635","null","8435","null","643","null","447","null","341","null","3443","320","null","null","2965","null","508","null","478","null","418","null","7002","null","533","null","6791","null","583","null","211","null","288","null","6793","null","357","null","5980","null","682","null","813","null","609","null","7515","null","295","null","7211","null","385","null","304","281","null","null","8535","null","245","null","8172","null","399","null","363","null","309","null","6392","null","117","null","6392","null","117","null","0","null","206","null","4048","null","197","null","4048","null","197","null","0","null","206","null",
"0500000US01055","Etowah County, Alabama","78490","null","381","null","4707","null","435","null","4425","null","480","null","282","null","293","null","11236","null","465","null","10468","null","728","null","768","null","590","null","5939","417","null","null","5259","null","452","null","680","null","363","null","8479","null","359","null","6843","null","744","null","1636","null","594","null","9136","null","267","null","8231","null","595","null","905","null","533","null","10994","null","206","null","9545","null","610","null","1449","610","null","null","11140","null","133","null","8895","null","815","null","2245","null","809","null","10043","null","88","null","9759","null","361","null","284","null","345","null","6816","null","155","null","6816","null","155","null","0","null","206","null",
"0500000US01069","Houston County, Alabama","67749","null","1526","null","4026","null","154","null","3999","null","154","null","27","null","45","null","10456","null","257","null","10235","null","308","null","221","null","119","null","4524","714","null","null","3136","null","589","null","1388","null","527","null","6864","null","483","null","5188","null","644","null","1676","null","583","null","8208","null","149","null","6818","null","607","null","1390","null","582","null","9119","null","155","null","7738","null","531","null","1381","524","null","null","9946","null","346","null","8983","null","487","null","963","null","357","null","8324","null","376","null","8299","null","376","null","25","null","32","null","6282","null","288","null","6217","null","306","null","65","null","111","null",
"0500000US01073","Jefferson County, Alabama","322337","null","1320","null","20601","null","759","null","20433","null","788","null","168","null","222","null","45192","null","1330","null","44400","null","1437","null","792","null","548","null","25581","1334","null","null","23053","null","1707","null","2528","null","1079","null","41962","null","1001","null","37721","null","1641","null","4241","null","1234","null","39899","null","657","null","35958","null","1256","null","3941","null","1084","null","39809","null","172","null","34339","null","1811","null","5470","1781","null","null","44508","null","379","null","39435","null","1457","null","5073","null","1397","null","36813","null","184","null","36761","null","216","null","52","null","84","null","27972","null","534","null","27948","null","535","null","24","null","39","null",
"0500000US01077","Lauderdale County, Alabama","77612","null","600","null","3999","null","239","null","3632","null","520","null","367","null","566","null","11779","null","994","null","10664","null","1058","null","1115","null","733","null","7584","1112","null","null","6985","null","1117","null","599","null","326","null","7998","null","691","null","6559","null","916","null","1439","null","872","null","8301","null","105","null","6229","null","952","null","2072","null","944","null","9828","null","56","null","8296","null","824","null","1532","846","null","null","10980","null","206","null","10122","null","609","null","858","null","583","null","9815","null","33","null","9815","null","33","null","0","null","206","null","7328","null","174","null","7328","null","174","null","0","null","206","null",
