"GEO_ID","NAME","B27001I_001E","B27001I_001EA","B27001I_001M","B27001I_001MA","B27001I_002E","B27001I_002M","B27001I_002MA","B27001I_002EA","B27001I_003E","B27001I_003EA","B27001I_003M","B27001I_003MA","B27001I_004E","B27001I_004EA","B27001I_004M","B27001I_004MA","B27001I_005E","B27001I_005EA","B27001I_005M","B27001I_005MA","B27001I_006E","B27001I_006EA","B27001I_006M","B27001I_006MA","B27001I_007E","B27001I_007EA","B27001I_007M","B27001I_007MA","B27001I_008E","B27001I_008EA","B27001I_008M","B27001I_008MA","B27001I_009E","B27001I_009EA","B27001I_009M","B27001I_009MA","B27001I_010E","B27001I_010EA","B27001I_010M","B27001I_010MA","B27001I_011E","B27001I_011EA","B27001I_011M","B27001I_011MA","B27001I_012E","B27001I_012EA","B27001I_012M","B27001I_012MA","B27001I_013E","B27001I_013M","B27001I_013MA","B27001I_013EA","B27001I_014E","B27001I_014EA","B27001I_014M","B27001I_014MA","B27001I_015E","B27001I_015EA","B27001I_015M","B27001I_015MA","B27001I_016E","B27001I_016EA","B27001I_016M","B27001I_016MA","B27001I_017E","B27001I_017EA","B27001I_017M","B27001I_017MA","B27001I_018E","B27001I_018EA","B27001I_018M","B27001I_018MA","B27001I_019E","B27001I_019EA","B27001I_019M","B27001I_019MA","B27001I_020E","B27001I_020EA","B27001I_020M","B27001I_020MA","B27001I_021E","B27001I_021EA","B27001I_021M","B27001I_021MA","B27001I_022E","B27001I_022EA","B27001I_022M","B27001I_022MA","B27001I_023E","B27001I_023EA","B27001I_023M","B27001I_023MA","B27001I_024E","B27001I_024M","B27001I_024MA","B27001I_024EA","B27001I_025E","B27001I_025EA","B27001I_025M","B27001I_025MA","B27001I_026E","B27001I_026EA","B27001I_026M","B27001I_026MA","B27001I_027E","B27001I_027EA","B27001I_027M","B27001I_027MA","B27001I_028E","B27001I_028EA","B27001I_028M","B27001I_028MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Under 6 years:","Margin of Error!!Total:!!Under 6 years:","Annotation of Margin of Error!!Total:!!Under 6 years:","Annotation of Estimate!!Total:!!Under 6 years:","Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!6 to 18 years:","Annotation of Estimate!!Total:!!6 to 18 years:","Margin of Error!!Total:!!6 to 18 years:","Annotation of Margin of Error!!Total:!!6 to 18 years:","Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!19 to 25 years:","Annotation of Estimate!!Total:!!19 to 25 years:","Margin of Error!!Total:!!19 to 25 years:","Annotation of Margin of Error!!Total:!!19 to 25 years:","Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!26 to 34 years:","Annotation of Estimate!!Total:!!26 to 34 years:","Margin of Error!!Total:!!26 to 34 years:","Annotation of Margin of Error!!Total:!!26 to 34 years:","Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!35 to 44 years:","Annotation of Estimate!!Total:!!35 to 44 years:","Margin of Error!!Total:!!35 to 44 years:","Annotation of Margin of Error!!Total:!!35 to 44 years:","Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!45 to 54 years:","Annotation of Estimate!!Total:!!45 to 54 years:","Margin of Error!!Total:!!45 to 54 years:","Annotation of Margin of Error!!Total:!!45 to 54 years:","Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!55 to 64 years:","Annotation of Estimate!!Total:!!55 to 64 years:","Margin of Error!!Total:!!55 to 64 years:","Annotation of Margin of Error!!Total:!!55 to 64 years:","Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!65 to 74 years:","Annotation of Estimate!!Total:!!65 to 74 years:","Margin of Error!!Total:!!65 to 74 years:","Annotation of Margin of Error!!Total:!!65 to 74 years:","Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!75 years and over:","Annotation of Estimate!!Total:!!75 years and over:","Margin of Error!!Total:!!75 years and over:","Annotation of Margin of Error!!Total:!!75 years and over:","Estimate!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!No health insurance coverage",
"0500000US01003","Baldwin County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01015","Calhoun County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01043","Cullman County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01049","DeKalb County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01051","Elmore County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01055","Etowah County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01069","Houston County, Alabama","3595","null","53","null","505","115","null","null","442","null","72","null","63","null","109","null","889","null","169","null","842","null","221","null","47","null","76","null","392","null","117","null","281","null","169","null","111","null","124","null","499","null","192","null","105","null","87","null","394","213","null","null","605","null","181","null","185","null","115","null","420","null","194","null","222","null","174","null","95","null","76","null","127","null","181","null","439","null","59","null","277","null","148","null","162","null","154","null","14","null","26","null","14","26","null","null","0","null","206","null","30","null","42","null","30","null","42","null","0","null","206","null",
"0500000US01073","Jefferson County, Alabama","26820","null","92","null","5288","675","null","null","5288","null","675","null","0","null","206","null","6424","null","735","null","6410","null","738","null","14","null","27","null","2472","null","277","null","1723","null","400","null","749","null","331","null","3652","null","564","null","2162","null","728","null","1490","755","null","null","4647","null","1087","null","1965","null","985","null","2682","null","1340","null","1950","null","1068","null","1490","null","904","null","460","null","400","null","1185","null","570","null","512","null","326","null","673","null","620","null","1016","null","546","null","961","529","null","null","55","null","93","null","186","null","168","null","186","null","168","null","0","null","206","null",
"0500000US01077","Lauderdale County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
