FIPS,Area,Total Population,Deaths per Case Rate,Age-Adjusted Death Rate,Age-Adjusted New Case Rate,Uninsured Rate,White,Black or African American,Hispanic or Latino,American Indian or Alaska Native,Asian,Hawaiian and Other Pacific Islander
46031,"Corson County, South Dakota",7804,84.34%,197.6,234.3,,31.34%,1.23%,5.10%,69.94%,1.03%,0.13%
31115,"Loup County, Nebraska",1214,83.85%,268.5,320.2,,98.52%,1.15%,3.62%,0.16%,0.16%,0.00%
06003,"Alpine County, California",2408,76.83%,229.5,298.7,,73.17%,1.91%,13.21%,26.25%,2.33%,0.50%
41001,"Baker County, Oregon",33336,66.69%,169.6,254.3,,96.68%,1.54%,5.02%,3.17%,1.39%,0.31%
48421,"Sherman County, Texas",5564,66.61%,181.5,272.5,,95.40%,2.52%,45.90%,2.16%,1.29%,0.04%
12059,"Holmes County, Florida",39306,65.33%,186.4,285.3,,91.06%,7.57%,3.21%,2.43%,0.96%,0.27%
48129,"Donley County, Texas",6516,60.32%,203.7,337.7,,91.56%,7.15%,11.82%,1.96%,1.04%,0.18%
02185,"North Slope Borough, Alaska",22062,59.24%,257.7,435,,34.83%,2.53%,4.05%,59.14%,7.21%,2.29%
46105,"Perkins County, South Dakota",5670,59.13%,184,311.2,,96.05%,1.09%,1.87%,3.46%,0.74%,0.07%
48247,"Jim Hogg County, Texas",9676,59.02%,192.3,325.8,,97.56%,1.41%,92.87%,1.28%,0.74%,0.08%
48345,"Motley County, Texas",2126,59.00%,205.2,347.8,,93.51%,3.67%,19.76%,3.10%,0.38%,0.28%
16025,"Camas County, Idaho",2154,57.78%,273.4,473.2,,97.68%,0.93%,6.69%,3.81%,0.93%,0.09%
53019,"Ferry County, Washington",14356,57.55%,165.5,287.6,,80.98%,2.09%,5.08%,19.73%,2.02%,0.68%
12063,"Jackson County, Florida",94638,57.24%,189.8,331.6,,71.57%,27.67%,5.06%,1.56%,0.97%,0.37%
17069,"Hardin County, Illinois",7298,57.01%,225.4,395.4,,98.00%,1.32%,2.11%,1.12%,0.90%,0.19%
46017,"Buffalo County, South Dakota",3896,55.71%,275.9,495.2,,18.58%,1.18%,4.57%,82.55%,0.72%,0.15%
48359,"Oldham County, Texas",3516,55.38%,162,292.5,,92.55%,4.55%,17.29%,2.62%,2.73%,0.11%
29155,"Pemiscot County, Missouri",31322,55.20%,231.5,419.4,,72.68%,27.71%,2.90%,1.10%,0.71%,0.12%
46061,"Hanson County, South Dakota",6922,54.78%,279.2,509.7,,97.98%,0.98%,1.44%,1.76%,0.84%,0.09%
18155,"Switzerland County, Indiana",19474,54.76%,195.5,357,,97.90%,1.82%,1.91%,0.81%,0.54%,0.06%
46121,"Todd County, South Dakota",18638,53.99%,238.7,442.1,,9.81%,1.06%,3.77%,88.06%,3.29%,0.08%
41045,"Malheur County, Oregon",63142,53.69%,171.5,319.4,,94.44%,2.16%,34.93%,3.53%,2.17%,0.40%
13253,"Seminole County, Georgia",18294,53.63%,210.3,392.1,,65.58%,34.07%,3.70%,0.79%,0.93%,0.07%
48001,"Anderson County, Texas",115844,53.16%,237.2,446.2,,75.90%,22.99%,18.38%,1.32%,1.36%,0.39%
40107,"Okfuskee County, Oklahoma",22620,53.13%,246.4,463.8,,68.89%,8.48%,4.39%,28.60%,0.95%,0.32%
08011,"Bent County, Colorado",11300,52.82%,163.1,308.8,,87.70%,7.68%,32.78%,4.81%,1.82%,0.18%
48385,"Real County, Texas",5516,52.65%,171,324.8,,94.85%,2.21%,28.79%,3.70%,0.98%,0.54%
48211,"Hemphill County, Texas",6764,52.47%,177.5,338.3,,95.30%,1.48%,35.13%,2.54%,1.92%,0.21%
29199,"Scotland County, Missouri",9432,52.38%,179.6,342.9,,99.28%,0.66%,1.10%,0.87%,0.40%,0.04%
46007,"Bennett County, South Dakota",6762,52.32%,197.4,377.3,,38.98%,1.66%,6.12%,63.80%,0.89%,0.09%
